"docname","from","to","pre","keyword","post","pattern"
"FEDERALIST 52.txt",547,547,"177As it is essential to","liberty","that the government in general","liberty"
"FEDERALIST 52.txt",1045,1045,"argue from the degree of","liberty","retained even un der septennial","liberty"
"FEDERALIST 52.txt",1329,1329,"these disadvantages to retain any","liberty","whatever the advantage of biennial","liberty"
"FEDERALIST 52.txt",1343,1343,"to them every degree of","liberty","which might depend on a","liberty"
"FEDERALIST 52.txt",1489,1489,"that a sufficient portion of","liberty","had been everywhere enjoyed to","liberty"
