"docname","from","to","pre","keyword","post","pattern"
"FEDERALIST 55.txt",1104,1104,"be dangerous to the public","liberty","Whether sixty-five members for a","liberty"
"FEDERALIST 55.txt",1954,1954,"vain The sincere friends of","liberty","who give themselves up to","liberty"
