"docname","from","to","pre","keyword","post","pattern"
"FEDERALIST 8.txt",17,17,"and Other Institutions Unfriendly to","Liberty","by Alexander Hamilton ASSUMING it","liberty"
"FEDERALIST 8.txt",160,160,"bear a malignant aspect to","liberty","and economy have notwithstanding been","liberty"
"FEDERALIST 8.txt",491,491,"Even the ardent love of","liberty","will after a time give","liberty"
"FEDERALIST 8.txt",533,533,"nations the most attached to","liberty","to resort for repose and","liberty"
"FEDERALIST 8.txt",1727,1727,"degree contributed to preserve the","liberty","which that country to this","liberty"
