"Rank","Sentiment","Total"
1,"positive",11654
2,"trust",8088
3,"negative",7276
4,"fear",4426
5,"anticipation",4280
6,"joy",2838
7,"anger",2768
8,"sadness",2658
9,"disgust",1639
10,"surprise",1458
