"docname","from","to","pre","keyword","post","pattern"
"FEDERALIST 18 The Subject Continued with Farther Examples.txt",1576,1576,"erelong awakened their love of","liberty","A few cities reunited Their","liberty"
"FEDERALIST 18 The Subject Continued with Farther Examples.txt",1977,1977,"their sincerity already proclaimed universal","liberty","throughout Greece With the same","liberty"
"FEDERALIST 18 The Subject Continued with Farther Examples.txt",2020,2020,"the last hope of ancient","liberty","was torn into pieces and","liberty"
