"docname","from","to","pre","keyword","post","pattern"
"FEDERALIST 73.txt",414,414,"its members will be at","liberty","to give nor will he","liberty"
"FEDERALIST 73.txt",422,422,"nor will he be at","liberty","to receive any other emolument","liberty"
