"docname","from","to","pre","keyword","post","pattern"
"FEDERALIST 54 The Same Subject Continued with a Vi ew to the Ratio of Representation.txt",468,468,"to be restrained in his","liberty","and chastised in his body","liberty"
"FEDERALIST 54 The Same Subject Continued with a Vi ew to the Ratio of Representation.txt",536,536,"of his labor and his","liberty","and in being punishable himself","liberty"
