"docname","from","to","pre","keyword","post","pattern"
"FEDERALIST 38 The Subject Continued and the Incoherence of the Objections to the Plan Exposed.txt",379,379,"the Greeks were of their","liberty","should so far abandon the","liberty"
"FEDERALIST 38 The Subject Continued and the Incoherence of the Objections to the Plan Exposed.txt",1773,1773,"requisite precautions in favor of","liberty","Whilst this objection circulates in","liberty"
"FEDERALIST 38 The Subject Continued and the Incoherence of the Objections to the Plan Exposed.txt",2659,2659,"bill of rights essential to","liberty","The Confederation has no bill","liberty"
