"docname","from","to","pre","keyword","post","pattern"
"FEDERALIST 41 General View of the Powers Prop osed to Be Vested in the Union.txt",1418,1418,"of Europe It will present","liberty","everywhere crushed between standing armies","liberty"
"FEDERALIST 41 General View of the Powers Prop osed to Be Vested in the Union.txt",1571,1571,"country every man who loves","liberty","ought to have it ever","liberty"
"FEDERALIST 41 General View of the Powers Prop osed to Be Vested in the Union.txt",3369,3369,"Constitution we must take the","liberty","of supposing had not its","liberty"
