"docname","from","to","pre","keyword","post","pattern"
"FEDERALIST 1 Introduction.txt",842,842,"hostile to the principles of","liberty","An over scrupulous jealousy of","liberty"
"FEDERALIST 1 Introduction.txt",912,912,"that the noble enthusiasm of","liberty","is apt to be infected","liberty"
"FEDERALIST 1 Introduction.txt",946,946,"essential to the security of","liberty","that in the contemplation of","liberty"
"FEDERALIST 1 Introduction.txt",1174,1174,"the safest course for your","liberty","your dignity and your happiness","liberty"
"FEDERALIST 1 Introduction.txt",1375,1375,"that species of government to","liberty","and to property In the","liberty"
