"docname","from","to","pre","keyword","post","pattern"
"FEDERALIST 29.txt",320,320,"standing armies are dangerous to","liberty","an 91efficacious power over the","liberty"
"FEDERALIST 29.txt",1473,1473,"the idea of danger to","liberty","from the militia that one","liberty"
