"docname","from","to","pre","keyword","post","pattern"
"FEDERALIST 57.txt",1069,1069,"to tolerate any thing but","liberty","Such will be the relation","liberty"
"FEDERALIST 57.txt",1156,1156,"republican government provides for the","liberty","a nd happiness of the","liberty"
"FEDERALIST 57.txt",2263,2263,"and to undermine the public","liberty","PUBLIUS","liberty"
