"docname","from","to","pre","keyword","post","pattern"
"FEDERALIST 45.txt",178,178,"which embitter the blessings of","liberty","and against those military establishments","liberty"
"FEDERALIST 45.txt",281,281,"of America should enjoy peace","liberty","and safety but that the","liberty"
