"Rank","Sentiment","Total"
1,"negative",1041
2,"positive",919
3,"trust",535
4,"fear",495
5,"anger",451
6,"sadness",416
7,"anticipation",347
8,"disgust",320
9,"joy",240
10,"surprise",175
