"docname","from","to","pre","keyword","post","pattern"
"FEDERALIST 61.txt",180,180,"men that if the public","liberty","should ever be the victim","liberty"
"FEDERALIST 61.txt",762,762,"inattention to the security of","liberty","where the im putations thrown","liberty"
"FEDERALIST 61.txt",1314,1314,"might be less formidable to","liberty","than one third of that","liberty"
