"docname","from","to","pre","keyword","post","pattern"
"FEDERALIST 85.txt",57,57,"afford to republican government to","liberty","and to property But these","liberty"
"FEDERALIST 85.txt",190,190,"of a provision respecting the","liberty","of the press These and","liberty"
"FEDERALIST 85.txt",329,329,"securities to republican government to","liberty","and to property to be","liberty"
"FEDERALIST 85.txt",2275,2275,"merely relative to the general","liberty","or security of the people","liberty"
