"docname","from","to","pre","keyword","post","pattern"
"FEDERALIST 63.txt",1016,1016,"of their own passions Popular","liberty","might then have escaped the","liberty"
"FEDERALIST 63.txt",1364,1364,"that will blend stability with","liberty","I am not unaware of","liberty"
"FEDERALIST 63.txt",2160,2160,"ought to be sufficient that","liberty","may be endangered by the","liberty"
"FEDERALIST 63.txt",2168,2168,"endangered by the abuses of","liberty","as well as by the","liberty"
