"docname","from","to","pre","keyword","post","pattern"
"FEDERALIST 53.txt",142,142,"of power Happily for mankind","liberty","is not in this respect","liberty"
"FEDERALIST 53.txt",341,341,"a greater share of rational","liberty","than South Carolina or that","liberty"
"FEDERALIST 53.txt",476,476,"principles of political and civil","liberty","ha ve been most discussed","liberty"
"FEDERALIST 53.txt",626,626,"seek for some security to","liberty","against the danger to which","liberty"
"FEDERALIST 53.txt",2214,2214,"will be safe to the","liberty","of the people PUBLIUS","liberty"
