"docname","from","to","pre","keyword","post","pattern"
"FEDERALIST 40.txt",2211,2211,"promoted They had seen the","liberty","assumed by a very few","liberty"
"FEDERALIST 40.txt",3017,3017,"were placed to exercise the","liberty","which they assumed and that","liberty"
