"docname","from","to","pre","keyword","post","pattern"
"FEDERALIST 70.txt",152,152,"justice to the security of","liberty","against the enterprises and assaults","liberty"
"FEDERALIST 70.txt",2744,2744,"rather dangerous than friendly to","liberty","De Lolme 239A little consideration","liberty"
"FEDERALIST 70.txt",2803,2803,"must be more formidable to","liberty","than the credit and influence","liberty"
