"docname","from","to","pre","keyword","post","pattern"
"FEDERALIST 2.txt",389,389,"of our western sons of","liberty","Providence has in a particular","liberty"
"FEDERALIST 2.txt",547,547,"war have nobly established general","liberty","and independence This country and","liberty"
"FEDERALIST 2.txt",824,824,"to union than enamored of","liberty","they observed the danger which","liberty"
"FEDERALIST 2.txt",1294,1294,"individually interested in the public","liberty","and prosperity and therefore that","liberty"
