"docname","from","to","pre","keyword","post","pattern"
"FEDERALIST 28 The Same Subject Concluded.txt",1282,1282,"against invasions of the public","liberty","by the national authority Projects","liberty"
"FEDERALIST 28 The Same Subject Concluded.txt",1387,1387,"the protection of their common","liberty","Its full efficacy will be","liberty"
