"docname","from","to","pre","keyword","post","pattern"
"FEDERALIST 25.txt",510,510,"On the other hand the","liberty","of the people would be","liberty"
"FEDERALIST 25.txt",1283,1283,"must expose our property and","liberty","to the mercy of foreign","liberty"
"FEDERALIST 25.txt",1320,1320,"our will might endanger that","liberty","by an abuse of the","liberty"
"FEDERALIST 25.txt",1478,1478,"them feel and know the","liberty","of their country c ould","liberty"
"FEDERALIST 25.txt",1566,1566,"standing armies are dangerous to","liberty","and ought not to be","liberty"
