"docname","from","to","pre","keyword","post","pattern"
"FEDERALIST 51.txt",184,184,"essential to the preservation of","liberty","it is evident that each","liberty"
"FEDERALIST 51.txt",1590,1590,"it be obtained or until","liberty","be lost in the pursuit","liberty"
